INDEX - DISTANCE - PATTERN - METER
163. - 0.202478260206 - [1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [9,4] 
164. - 0.202478260206 - [1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0] - [9,8] 
165. - 0.203304522650 - [1,0,0,1,1,1,0,0,1,0] - [5,8] 
166. - 0.203768643752 - [1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0] - [5,4] 
167. - 0.204279801178 - [1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0] - [9,8] 
168. - 0.204803830662 - [1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0] - [7,4] 
169. - 0.205704277993 - [1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0] - [9,8] 
170. - 0.206536218692 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0] - [9,4] 
171. - 0.206536218692 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [9,4] 
172. - 0.207626257104 - [1,0,1,0,0,0,1,0,1,1] - [5,8] 
173. - 0.208504870237 - [1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [7,4] 
174. - 0.208504870237 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [7,4] 
175. - 0.208504870237 - [1,0,1,0,1,0,0,0,1,0,1,0,0,0] - [7,8] 
176. - 0.208538101844 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0] - [6,4] 
177. - 0.210044547822 - [1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1] - [12,8] 
178. - 0.210151739637 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [7,4] 
179. - 0.210314828084 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0] - [5,4] 
180. - 0.210314828084 - [1,1,1,0,1,0,0,0,1,0] - [5,8] 
181. - 0.210398240189 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0] - [6,4] 
182. - 0.210708010559 - [1,0,0,0,1,0,0,0,1,0,1,0,1,0] - [7,8] 
183. - 0.210708010559 - [1,0,1,0,1,0,0,0,1,0,0,0,1,0] - [7,8] 
184. - 0.211357643472 - [1,0,0,0,1,1,0,0,0,0,1,1] - [6,8] 
185. - 0.211747313266 - [1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0] - [5,4] 
186. - 0.211822968328 - [1,0,0,1,1,0,0,0,1,1] - [5,8] 
187. - 0.212528248115 - [0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [7,4] 
188. - 0.212528248115 - [1,0,0,0,1,0,1,0,1,0,1,0,0,0] - [7,8] 
189. - 0.212528248115 - [1,0,1,0,1,0,1,0,0,0,1,0,0,0] - [7,8] 
190. - 0.212935287666 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0] - [7,4] 
191. - 0.214021959880 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0] - [9,4] 
192. - 0.216118708551 - [1,0,0,0,1,1,1,0,0,0,1,0] - [6,8] 
193. - 0.216273675349 - [1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0] - [6,4] 
194. - 0.218175133420 - [1,0,1,1,1,0,1,0,0,0] - [5,8] 
195. - 0.218175133420 - [0,0,1,0,1,1,1,0,1,0] - [5,8] 
196. - 0.219262077888 - [1,0,1,0,1,0,0,0,1,0,1,0] - [3,4] 
197. - 0.219262077888 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [6,4] 
198. - 0.219262077888 - [1,0,1,0,0,0,1,0,1,0,1,0] - [6,8] 
