Index,Distance,Pattern,Meter,Method
112,0.191,"[1,0,0,0,1,1,0,0,1,0,1,0]","[3,4]",metricSync
113,0.192,"[1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0]","[9,4]",metricSync
114,0.192,"[1,0,0,0,0,0,1,1,1,0,1,0]","[6,8]",metricSync
115,0.192,"[0,0,1,0,1,0,1,0,0,0,0,1,1,0]","[7,8]",metricSync
116,0.192,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[9,4]",metricSync
117,0.192,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]","[9,4]",metricSync
118,0.193,"[0,0,0,1,1,0,1,0,1,0,1,0]","[3,4]",metricSync
119,0.193,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0]","[9,4]",metricSync
120,0.193,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0]","[7,4]",metricSync
121,0.194,"[0,0,1,0,0,0,1,0,1,0,0,0,1,1]","[7,8]",metricSync
122,0.194,"[1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0]","[9,8]",metricSync
123,0.194,"[1,0,1,1,1,0,0,0,0,0,0,0,1,0]","[7,8]",metricSync
124,0.194,"[1,0,0,0,0,0,0,0,1,0,1,0,1,1]","[7,8]",metricSync
125,0.194,"[1,0,0,0,1,0,1,0,1,0,0,1]","[3,4]",metricSync
126,0.195,"[1,0,0,0,1,0,1,1,1,0,0,0]","[3,4]",metricSync
127,0.195,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0]","[9,8]",metricSync
128,0.195,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0]","[9,4]",metricSync
129,0.195,"[1,0,0,0,1,1,0,0,1,0,0,1]","[6,8]",metricSync
130,0.195,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]","[9,4]",metricSync
131,0.195,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[9,8]",metricSync
132,0.195,"[0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]","[7,4]",metricSync
133,0.195,"[0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[7,4]",metricSync
134,0.195,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0]","[5,4]",metricSync
135,0.195,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0]","[9,8]",metricSync
136,0.196,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0]","[9,8]",metricSync
137,0.196,"[0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0]","[6,4]",metricSync
138,0.196,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
139,0.196,"[1,0,1,1,1,0,1,0,0,0,0,0]","[6,8]",metricSync
140,0.197,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[5,4]",metricSync
141,0.197,"[1,0,0,0,1,0,1,0,1,1]","[5,8]",metricSync
142,0.197,"[1,0,0,1,1,0,0,1,1,0,0,0]","[3,4]",metricSync
